"TIME","GEO","GEO_LABEL","UNIT","UNIT_LABEL","Value"
"2000","BE","Belgium","EUR_HAB_EU","Euro per inhabitant in percentage of the EU average","127"
"2000","BE","Belgium","PPS_HAB","Purchasing power standard (PPS) per inhabitant","24 500"
"2000","BE","Belgium","PPS_HAB_EU","Purchasing power standard (PPS) per inhabitant in percentage of the EU average","124"
"2000","BE1","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","EUR_HAB_EU","Euro per inhabitant in percentage of the EU average","257"
"2000","BE1","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","PPS_HAB","Purchasing power standard (PPS) per inhabitant","49 600"
"2000","BE1","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","PPS_HAB_EU","Purchasing power standard (PPS) per inhabitant in percentage of the EU average","250"
"2000","BE2","Vlaams Gewest","EUR_HAB_EU","Euro per inhabitant in percentage of the EU average","125"
"2000","BE2","Vlaams Gewest","PPS_HAB","Purchasing power standard (PPS) per inhabitant","24 100"
"2000","BE2","Vlaams Gewest","PPS_HAB_EU","Purchasing power standard (PPS) per inhabitant in percentage of the EU average","122"
"2000","BE3","Région wallonne","EUR_HAB_EU","Euro per inhabitant in percentage of the EU average","93"
"2000","BE3","Région wallonne","PPS_HAB","Purchasing power standard (PPS) per inhabitant","17 900"
"2000","BE3","Région wallonne","PPS_HAB_EU","Purchasing power standard (PPS) per inhabitant in percentage of the EU average","90"
"2000","BEZ","Extra-Regio NUTS 1","EUR_HAB_EU","Euro per inhabitant in percentage of the EU average",":"
"2000","BEZ","Extra-Regio NUTS 1","PPS_HAB","Purchasing power standard (PPS) per inhabitant",":"
"2000","BEZ","Extra-Regio NUTS 1","PPS_HAB_EU","Purchasing power standard (PPS) per inhabitant in percentage of the EU average",":"
"2000","BG","Bulgaria","EUR_HAB_EU","Euro per inhabitant in percentage of the EU average","9"
"2000","BG","Bulgaria","PPS_HAB","Purchasing power standard (PPS) per inhabitant","5 600"
"2000","BG","Bulgaria","PPS_HAB_EU","Purchasing power standard (PPS) per inhabitant in percentage of the EU average","28"
"2000","BG3","Severna i yugoiztochna Bulgaria","EUR_HAB_EU","Euro per inhabitant in percentage of the EU average","8"
"2000","BG3","Severna i yugoiztochna Bulgaria","PPS_HAB","Purchasing power standard (PPS) per inhabitant","5 200"
"2000","BG3","Severna i yugoiztochna Bulgaria","PPS_HAB_EU","Purchasing power standard (PPS) per inhabitant in percentage of the EU average","26"
"2000","BG4","Yugozapadna i yuzhna tsentralna Bulgaria","EUR_HAB_EU","Euro per inhabitant in percentage of the EU average","10"
"2000","BG4","Yugozapadna i yuzhna tsentralna Bulgaria","PPS_HAB","Purchasing power standard (PPS) per inhabitant","6 100"
"2000","BG4","Yugozapadna i yuzhna tsentralna Bulgaria","PPS_HAB_EU","Purchasing power standard (PPS) per inhabitant in percentage of the EU average","31"
"2000","CZ","Czechia","EUR_HAB_EU","Euro per inhabitant in percentage of the EU average","33"
"2000","CZ","Czechia","PPS_HAB","Purchasing power standard (PPS) per inhabitant","14 200"
"2000","CZ","Czechia","PPS_HAB_EU","Purchasing power standard (PPS) per inhabitant in percentage of the EU average","71"
"2000","CZ0","Cesko","EUR_HAB_EU","Euro per inhabitant in percentage of the EU average","33"
"2000","CZ0","Cesko","PPS_HAB","Purchasing power standard (PPS) per inhabitant","14 200"
"2000","CZ0","Cesko","PPS_HAB_EU","Purchasing power standard (PPS) per inhabitant in percentage of the EU average","71"
"2000","DK","Denmark","EUR_HAB_EU","Euro per inhabitant in percentage of the EU average","168"
"2000","DK","Denmark","PPS_HAB","Purchasing power standard (PPS) per inhabitant","25 100"
"2000","DK","Denmark","PPS_HAB_EU","Purchasing power standard (PPS) per inhabitant in percentage of the EU average","127"
"2000","DK0","Danmark","EUR_HAB_EU","Euro per inhabitant in percentage of the EU average","163"
"2000","DK0","Danmark","PPS_HAB","Purchasing power standard (PPS) per inhabitant","24 400"
"2000","DK0","Danmark","PPS_HAB_EU","Purchasing power standard (PPS) per inhabitant in percentage of the EU average","123"
"2000","DKZ","Extra-Regio NUTS 1","EUR_HAB_EU","Euro per inhabitant in percentage of the EU average",":"
"2000","DKZ","Extra-Regio NUTS 1","PPS_HAB","Purchasing power standard (PPS) per inhabitant",":"
"2000","DKZ","Extra-Regio NUTS 1","PPS_HAB_EU","Purchasing power standard (PPS) per inhabitant in percentage of the EU average",":"
"2000","DE","Germany (until 1990 former territory of the FRG)","EUR_HAB_EU","Euro per inhabitant in percentage of the EU average","131"
"2000","DE","Germany (until 1990 former territory of the FRG)","PPS_HAB","Purchasing power standard (PPS) per inhabitant","24 100"
"2000","DE","Germany (until 1990 former territory of the FRG)","PPS_HAB_EU","Purchasing power standard (PPS) per inhabitant in percentage of the EU average","122"
"2000","DE1","Baden-Württemberg","EUR_HAB_EU","Euro per inhabitant in percentage of the EU average","151"
"2000","DE1","Baden-Württemberg","PPS_HAB","Purchasing power standard (PPS) per inhabitant","27 800"
